ID	sample	Breaking_force	Breaking_strain	Youngs_modulus_mN	Breaking_stress	Youngs_modulus_MPa	diameter	web_code	thread_code	web	thread
CR-5a	CR-5a	57.203	0.632	379.71	47.0608401093807	312.386965682446	39.35	C	R	Cocoon	Radius
CR-5b	CR-5b	38.907	0.674	160	32.0087426557291	131.631809826424	39.35	C	R	Cocoon	Radius
CR-5c	CR-5c	40.503	0.715	143.99	33.3217699587477	118.460401855667	39.35	C	R	Cocoon	Radius
CR-5d	CR-5d	213.033	0.642	1057.8	175.261995892203	870.250802714943	39.35	C	R	Cocoon	Radius
CR-5e	CR-5e	136.537	0.605	744.47	112.32882761419	612.474584134235	39.35	C	R	Cocoon	Radius
CR-6a	CR-6a	22.56	0.548	190.19	204.671289964606	1725.46243964399	11.84967	C	R	Cocoon	Radius
CR-6b	CR-6b	27.277	0.66	242.74	247.465371292755	2202.21227508902	11.84967	C	R	Cocoon	Radius
CR-6c	CR-6c	44.68	0.567	376.76	405.350763990185	3418.08312088053	11.84967	C	R	Cocoon	Radius
CR-7a	CR-7a	12.753	0.785	1.986	270.954357993066	42.1951975985439	7.74325	C	R	Cocoon	Radius
CR-7b	CR-7b	37.853	0.826	3.277	804.237066816557	69.6242006699035	7.74325	C	R	Cocoon	Radius
CR-7c	CR-7c	27.863	1.042	5.71	591.986299440195	121.316504676579	7.74325	C	R	Cocoon	Radius
CR-7d	CR-7d	26.08	0.724	25.66	554.104105422973	545.18064973748	7.74325	C	R	Cocoon	Radius
CR-8a	CR-8a	28.43	0.764	45.594	239.097244723112	383.447055079338	12.3074	C	R	Cocoon	Radius
CR-8b	CR-8b	54.267	0.9	226.54	456.387273281362	1905.20892787808	12.3074	C	R	Cocoon	Radius
CR-8c	CR-8c	24.99	0.711	26.201	210.166730412612	220.351280653896	12.3074	C	R	Cocoon	Radius
CR-8d	CR-8d	20.777	0.911	104.98	174.73526041548	882.885288464028	12.3074	C	R	Cocoon	Radius
CR-8e	CR-8e	34.567	0.823	161.27	290.709618654373	1356.28605896927	12.3074	C	R	Cocoon	Radius
CR-9a	CR-9a	36.693	0.824	27.462	281.630412035125	210.779559461167	12.883	C	R	Cocoon	Radius
CR-9b	CR-9b	13.16	0.7	33.071	101.007173640265	253.830413332615	12.883	C	R	Cocoon	Radius
CF-1a	CF-1a	14.57	0.357	131.31	123.258201397207	1110.84656317552	12.2712	C	F	Cocoon	Frame
